Gouvernorat,Délégation,Prix,Taille,Proximité,Infrastructure,Type_Agriculture,Additional_Features,Taille_m2,Prix_m2
Jendouba,Bou Salem,790116,4549 m²,,"puit, eau",Olives,titre foncier,4549.0,173.69
Jendouba,Bou Salem,7153981,18132 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",18132.0,394.55
Jendouba,Bou Salem,5399297,15970 m²,,"sondage, électricité",Céréales,"clôture, titre foncier",15970.0,338.09
Jendouba,Balta,3943071,18781 m²,,"puit, eau",,"clôture, titre foncier",18781.0,209.95
Jendouba,Tabarka,5479607,13412 m²,près de la mer,"sondage, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",13412.0,408.56
Jendouba,Balta,912323,3220 m²,,"puit, eau",Olives,"clôture, titre foncier",3220.0,283.33
Jendouba,Tabarka,4204147,11838 m²,près de la mer,"sondage, électricité",Olives,"clôture, titre foncier",11838.0,355.14
Jendouba,Tabarka,4154809,14871 m²,,"puit, eau",,"clôture, titre foncier",14871.0,279.39
Jendouba,Bou Salem,4863775,10519 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",10519.0,462.38
Jendouba,Balta,8590878,17413 m²,près du centre,"sondage, eau, électricité",Céréales,"maison, garage, clôture, titre foncier",17413.0,493.36
Jendouba,Balta,4691872,12495 m²,près du centre,"puit, électricité",Oliviers,"clôture, titre foncier",12495.0,375.5
Jendouba,Balta,3997629,14828 m²,,"puit, eau",Olives,"clôture, titre foncier",14828.0,269.6
Jendouba,Tabarka,6233795,19429 m²,,"sondage, électricité",Céréales,"clôture, titre foncier",19429.0,320.85
Jendouba,Bou Salem,4383566,11733 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",11733.0,373.61
Jendouba,Balta,6333748,17832 m²,près du centre,"sondage, électricité",Oliviers,"clôture, titre foncier",17832.0,355.19
Jendouba,Bou Salem,6321360,18937 m²,,"puit, électricité",Olives,"clôture, titre foncier",18937.0,333.81
Jendouba,Bou Salem,4840303,19843 m²,,"sondage, eau",,"clôture, titre foncier",19843.0,243.93
Jendouba,Bou Salem,2141523,12112 m²,,"puit, eau",,titre foncier,12112.0,176.81
Jendouba,Balta,1404845,8729 m²,,"sondage, eau",,titre foncier,8729.0,160.94
Jendouba,Balta,1072622,7095 m²,,"sondage, eau",Olives,titre foncier,7095.0,151.18
Jendouba,Tabarka,2477783,5608 m²,près de la mer,"puit, eau, électricité",Céréales,"maison, garage, clôture, titre foncier",5608.0,441.83
Jendouba,Bou Salem,3108268,6331 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",6331.0,490.96
Jendouba,Tabarka,3871943,12061 m²,,"sondage, électricité",Olives,"clôture, titre foncier",12061.0,321.03
Jendouba,Balta,2055249,10368 m²,,"sondage, eau",Olives,titre foncier,10368.0,198.23
Jendouba,Bou Salem,7482787,15187 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",15187.0,492.71
Jendouba,Balta,364387,1620 m²,,"sondage, eau",Olives,"clôture, titre foncier",1620.0,224.93
Jendouba,Tabarka,1966387,6794 m²,,"puit, eau",Olives,"clôture, titre foncier",6794.0,289.43
Jendouba,Bou Salem,5288996,15713 m²,,"sondage, électricité",Olives,"clôture, titre foncier",15713.0,336.6
Jendouba,Bou Salem,2463445,14730 m²,,"sondage, eau",Olives,titre foncier,14730.0,167.24
Jendouba,Bou Salem,3690897,10540 m²,près du centre,"puit, électricité",Céréales,"clôture, titre foncier",10540.0,350.18
Jendouba,Balta,6318498,14196 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",14196.0,445.09
Jendouba,Balta,2795455,11521 m²,,"puit, eau",,"clôture, titre foncier",11521.0,242.64
Jendouba,Bou Salem,3774729,12258 m²,,"sondage, électricité",Olives,"clôture, titre foncier",12258.0,307.94
Jendouba,Tabarka,2986840,14812 m²,,"sondage, eau",,"clôture, titre foncier",14812.0,201.65
Jendouba,Bou Salem,6092139,14277 m²,près du centre,"sondage, eau, électricité",Céréales,"maison, garage, clôture, titre foncier",14277.0,426.71
Jendouba,Bou Salem,3317995,7490 m²,près du centre,"sondage, eau, électricité",Céréales,"maison, garage, clôture, titre foncier",7490.0,442.99
Jendouba,Bou Salem,1701971,4483 m²,près du centre,"puit, électricité",Céréales,"clôture, titre foncier",4483.0,379.65
Jendouba,Tabarka,1186224,2950 m²,près de la mer,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",2950.0,402.11
Jendouba,Bou Salem,1923407,8502 m²,,"puit, eau",,"clôture, titre foncier",8502.0,226.23
Jendouba,Bou Salem,6639062,14398 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",14398.0,461.11
Jendouba,Balta,2573481,18191 m²,,,,titre foncier,18191.0,141.47
Jendouba,Balta,5582848,14713 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",14713.0,379.45
Jendouba,Tabarka,2647783,11120 m²,,"sondage, eau",Olives,"clôture, titre foncier",11120.0,238.11
Jendouba,Tabarka,2540887,9051 m²,,"puit, eau",Olives,"clôture, titre foncier",9051.0,280.73
Jendouba,Tabarka,108855,1928 m²,,eau,,,1928.0,56.46
Jendouba,Tabarka,3734438,16128 m²,,"puit, eau",,"clôture, titre foncier",16128.0,231.55
Jendouba,Balta,3775787,8765 m²,près du centre,"sondage, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",8765.0,430.78
Jendouba,Bou Salem,4156920,12960 m²,,"puit, électricité",Olives,"clôture, titre foncier",12960.0,320.75
Jendouba,Tabarka,994309,2702 m²,près de la mer,"puit, électricité",Olives,"clôture, titre foncier",2702.0,367.99
Jendouba,Tabarka,4910007,15124 m²,,"sondage, électricité",Olives,"clôture, titre foncier",15124.0,324.65
Jendouba,Bou Salem,1489651,6817 m²,,"puit, eau",Olives,"clôture, titre foncier",6817.0,218.52
Jendouba,Balta,764512,3306 m²,,"sondage, eau",Olives,"clôture, titre foncier",3306.0,231.25
Jendouba,Tabarka,717159,12045 m²,,eau,,,12045.0,59.54
Jendouba,Bou Salem,5207383,18958 m²,,"sondage, eau",Olives,"clôture, titre foncier",18958.0,274.68
Jendouba,Bou Salem,5692754,16506 m²,,"sondage, électricité",Céréales,"clôture, titre foncier",16506.0,344.89
Jendouba,Tabarka,4060177,11784 m²,,"puit, électricité",Olives,"clôture, titre foncier",11784.0,344.55
Jendouba,Tabarka,4400187,16198 m²,,"puit, eau",,"clôture, titre foncier",16198.0,271.65
Jendouba,Balta,2786596,9602 m²,,"sondage, eau",,"clôture, titre foncier",9602.0,290.21
Jendouba,Tabarka,1975505,7197 m²,,"sondage, eau",Olives,"clôture, titre foncier",7197.0,274.49
Jendouba,Bou Salem,5366389,14534 m²,près du centre,"sondage, électricité",Céréales,"clôture, titre foncier",14534.0,369.23
Jendouba,Tabarka,1666945,9152 m²,,"sondage, eau",Olives,titre foncier,9152.0,182.14
Jendouba,Tabarka,2270221,6527 m²,,"sondage, électricité",Olives,"clôture, titre foncier",6527.0,347.82
Jendouba,Bou Salem,531326,11167 m²,,eau,,,11167.0,47.58
Jendouba,Balta,4343686,17381 m²,,"puit, eau",Olives,"clôture, titre foncier",17381.0,249.91
Jendouba,Balta,6954812,14116 m²,près du centre,"sondage, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",14116.0,492.69
Jendouba,Tabarka,5295888,13120 m²,près de la mer,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",13120.0,403.65
Jendouba,Bou Salem,3164365,18491 m²,,"puit, eau",Olives,titre foncier,18491.0,171.13
Jendouba,Tabarka,2946136,18158 m²,,"sondage, eau",,titre foncier,18158.0,162.25
Jendouba,Bou Salem,4040979,12844 m²,,"puit, électricité",Olives,"clôture, titre foncier",12844.0,314.62
Jendouba,Tabarka,2163148,13347 m²,,"puit, eau",Olives,titre foncier,13347.0,162.07
Jendouba,Bou Salem,5895790,12137 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",12137.0,485.77
Jendouba,Tabarka,1223901,13878 m²,,eau,,,13878.0,88.19
Jendouba,Balta,3313894,15029 m²,,"sondage, eau",Olives,"clôture, titre foncier",15029.0,220.5
Jendouba,Tabarka,3384048,14507 m²,,"sondage, eau",Olives,"clôture, titre foncier",14507.0,233.27
Jendouba,Balta,2379194,6788 m²,près du centre,"puit, électricité",Céréales,"clôture, titre foncier",6788.0,350.5
Jendouba,Balta,820761,3554 m²,,"sondage, eau",Olives,"clôture, titre foncier",3554.0,230.94
Jendouba,Tabarka,2632263,16699 m²,,"sondage, eau",,titre foncier,16699.0,157.63
Jendouba,Balta,8227997,17437 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",17437.0,471.87
Jendouba,Bou Salem,3699424,17671 m²,,"puit, eau",Olives,"clôture, titre foncier",17671.0,209.35
Jendouba,Tabarka,2649296,9396 m²,,"puit, eau",Olives,"clôture, titre foncier",9396.0,281.96
Jendouba,Tabarka,3278170,7690 m²,près de la mer,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",7690.0,426.29
Jendouba,Tabarka,3824435,10240 m²,près de la mer,"puit, électricité",Olives,"clôture, titre foncier",10240.0,373.48
Jendouba,Balta,2021971,5458 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",5458.0,370.46
Jendouba,Balta,7167744,15300 m²,près du centre,"puit, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",15300.0,468.48
Jendouba,Bou Salem,619613,13464 m²,,eau,,,13464.0,46.02
Jendouba,Balta,1763343,9981 m²,,"sondage, eau",Olives,titre foncier,9981.0,176.67
Jendouba,Bou Salem,5932310,17746 m²,,"puit, électricité",Olives,"clôture, titre foncier",17746.0,334.29
Jendouba,Bou Salem,771250,2855 m²,,"puit, eau",Olives,"clôture, titre foncier",2855.0,270.14
Jendouba,Balta,1119349,5164 m²,,"puit, eau",Olives,"clôture, titre foncier",5164.0,216.76
Jendouba,Bou Salem,5457976,12539 m²,près du centre,"sondage, eau, électricité",Céréales,"maison, garage, clôture, titre foncier",12539.0,435.28
Jendouba,Tabarka,4793569,18044 m²,,"sondage, eau",,"clôture, titre foncier",18044.0,265.66
Jendouba,Balta,973322,12517 m²,,eau,,,12517.0,77.76
Jendouba,Bou Salem,5981222,17638 m²,,"puit, électricité",Olives,"clôture, titre foncier",17638.0,339.11
Jendouba,Balta,2640723,9596 m²,,"puit, eau",,"clôture, titre foncier",9596.0,275.19
Jendouba,Bou Salem,5063504,13791 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",13791.0,367.16
Jendouba,Tabarka,574103,4448 m²,,,,titre foncier,4448.0,129.07
Jendouba,Balta,1634247,15090 m²,,,,titre foncier,15090.0,108.3
Jendouba,Tabarka,1021696,2272 m²,près de la mer,"sondage, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",2272.0,449.69
Jendouba,Balta,1176386,6700 m²,,"sondage, eau",Olives,titre foncier,6700.0,175.58
Jendouba,Balta,1740819,3638 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",3638.0,478.51
Jendouba,Tabarka,1299136,2916 m²,près de la mer,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",2916.0,445.52
Jendouba,Balta,6380140,18468 m²,,"sondage, électricité",Olives,"clôture, titre foncier",18468.0,345.47
Jendouba,Bou Salem,3028882,14078 m²,,"sondage, eau",Olives,"clôture, titre foncier",14078.0,215.15
Jendouba,Tabarka,2626532,6219 m²,près de la mer,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",6219.0,422.34
Jendouba,Bou Salem,6752273,18060 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",18060.0,373.88
Jendouba,Balta,2161830,6911 m²,,"puit, électricité",Olives,"clôture, titre foncier",6911.0,312.81
Jendouba,Tabarka,2634425,15503 m²,,"puit, eau",Olives,titre foncier,15503.0,169.93
Jendouba,Tabarka,4128510,13218 m²,,"sondage, électricité",Oliviers,"clôture, titre foncier",13218.0,312.34
Jendouba,Bou Salem,8698914,19964 m²,près du centre,"sondage, eau, électricité",Céréales,"maison, garage, clôture, titre foncier",19964.0,435.73
Jendouba,Bou Salem,3957380,14267 m²,,"puit, eau",Olives,"clôture, titre foncier",14267.0,277.38
Jendouba,Tabarka,2187587,15685 m²,,,,titre foncier,15685.0,139.47
Jendouba,Bou Salem,927381,4740 m²,,"puit, eau",,titre foncier,4740.0,195.65
Jendouba,Balta,4968681,17295 m²,,"puit, eau",,"clôture, titre foncier",17295.0,287.29
Jendouba,Bou Salem,985732,2946 m²,,"sondage, électricité",Olives,"clôture, titre foncier",2946.0,334.6
Jendouba,Bou Salem,7618572,16969 m²,près du centre,"puit, eau, électricité",Céréales,"maison, garage, clôture, titre foncier",16969.0,448.97
Jendouba,Tabarka,6289144,16570 m²,près de la mer,"sondage, électricité",Céréales,"clôture, titre foncier",16570.0,379.55
Jendouba,Balta,2946896,16135 m²,,"sondage, eau",,titre foncier,16135.0,182.64
Jendouba,Tabarka,7595964,16307 m²,près de la mer,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",16307.0,465.81
Jendouba,Bou Salem,6037104,17687 m²,,"puit, électricité",Olives,"clôture, titre foncier",17687.0,341.33
Jendouba,Balta,3846420,9761 m²,près du centre,"sondage, électricité",Céréales,"clôture, titre foncier",9761.0,394.06
Jendouba,Tabarka,4121061,12833 m²,,"puit, électricité",Céréales,"clôture, titre foncier",12833.0,321.13
Jendouba,Balta,1149178,10100 m²,,,,titre foncier,10100.0,113.78
Jendouba,Balta,4977251,12540 m²,près du centre,"puit, électricité",Céréales,"clôture, titre foncier",12540.0,396.91
Jendouba,Tabarka,1219851,12973 m²,,eau,,,12973.0,94.03
Jendouba,Bou Salem,1893193,10196 m²,,"sondage, eau",,titre foncier,10196.0,185.68
Jendouba,Tabarka,581166,1940 m²,,"sondage, eau",,"clôture, titre foncier",1940.0,299.57
Jendouba,Balta,4164224,9647 m²,près du centre,"sondage, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",9647.0,431.66
Jendouba,Bou Salem,2614315,5636 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",5636.0,463.86
Jendouba,Tabarka,5129254,11946 m²,près de la mer,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",11946.0,429.37
Jendouba,Balta,3515215,13688 m²,,"puit, eau",,"clôture, titre foncier",13688.0,256.81
Jendouba,Tabarka,5696647,13269 m²,près de la mer,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",13269.0,429.32
Jendouba,Balta,1475731,6060 m²,,"puit, eau",Olives,"clôture, titre foncier",6060.0,243.52
Jendouba,Tabarka,794502,4129 m²,,"sondage, eau",,titre foncier,4129.0,192.42
Jendouba,Bou Salem,438376,5814 m²,,eau,,,5814.0,75.4
Jendouba,Bou Salem,7454203,18254 m²,près du centre,"puit, eau, électricité",Céréales,"maison, garage, clôture, titre foncier",18254.0,408.36
Jendouba,Bou Salem,1855640,18058 m²,,,,titre foncier,18058.0,102.76
Jendouba,Tabarka,2195790,7192 m²,,"sondage, électricité",Oliviers,"clôture, titre foncier",7192.0,305.31
Jendouba,Balta,3308360,15872 m²,,"puit, eau",Olives,"clôture, titre foncier",15872.0,208.44
Jendouba,Balta,100572,1972 m²,,eau,,,1972.0,51.0
Jendouba,Bou Salem,899058,5372 m²,,"sondage, eau",,titre foncier,5372.0,167.36
Jendouba,Balta,5860315,14191 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",14191.0,412.96
Jendouba,Bou Salem,1093874,2333 m²,près du centre,"sondage, eau, électricité",Céréales,"maison, garage, clôture, titre foncier",2333.0,468.87
Jendouba,Balta,1625908,7316 m²,,"sondage, eau",Olives,"clôture, titre foncier",7316.0,222.24
Jendouba,Balta,3498732,7756 m²,près du centre,"puit, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",7756.0,451.1
Jendouba,Balta,3907618,15562 m²,,"sondage, eau",Olives,"clôture, titre foncier",15562.0,251.1
Jendouba,Tabarka,3231389,10440 m²,,"sondage, électricité",Olives,"clôture, titre foncier",10440.0,309.52
Jendouba,Bou Salem,2241277,11863 m²,,"sondage, eau",Olives,titre foncier,11863.0,188.93
Jendouba,Balta,6858581,18890 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",18890.0,363.08
Jendouba,Balta,6651152,18293 m²,près du centre,"sondage, électricité",Oliviers,"clôture, titre foncier",18293.0,363.59
Jendouba,Balta,196612,3740 m²,,eau,,,3740.0,52.57
Jendouba,Balta,1954517,10051 m²,,"sondage, eau",Olives,titre foncier,10051.0,194.46
Jendouba,Balta,7439289,16716 m²,près du centre,"sondage, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",16716.0,445.04
Jendouba,Tabarka,2128300,5603 m²,près de la mer,"puit, électricité",Olives,"clôture, titre foncier",5603.0,379.85
Jendouba,Balta,2685169,9965 m²,,"puit, eau",,"clôture, titre foncier",9965.0,269.46
Jendouba,Tabarka,1090088,5757 m²,,"puit, eau",,titre foncier,5757.0,189.35
Jendouba,Balta,8347608,19395 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",19395.0,430.4
Jendouba,Balta,5439457,16115 m²,,"puit, électricité",Oliviers,"clôture, titre foncier",16115.0,337.54
Jendouba,Bou Salem,3012603,7099 m²,près du centre,"sondage, eau, électricité",Céréales,"maison, garage, clôture, titre foncier",7099.0,424.37
Jendouba,Tabarka,1606201,5068 m²,,"puit, électricité",Olives,"clôture, titre foncier",5068.0,316.93
Jendouba,Balta,2660977,7663 m²,,"puit, électricité",Olives,"clôture, titre foncier",7663.0,347.25
Jendouba,Tabarka,4468311,11755 m²,près de la mer,"sondage, électricité",Céréales,"clôture, titre foncier",11755.0,380.12
Jendouba,Bou Salem,1355501,2716 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",2716.0,499.08
Jendouba,Tabarka,6594923,19492 m²,,"sondage, électricité",Olives,"clôture, titre foncier",19492.0,338.34
Jendouba,Balta,3828167,12280 m²,,"puit, électricité",Céréales,"clôture, titre foncier",12280.0,311.74
Jendouba,Bou Salem,5732661,17062 m²,,"puit, électricité",Céréales,"clôture, titre foncier",17062.0,335.99
Jendouba,Tabarka,3679851,8271 m²,près de la mer,"puit, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",8271.0,444.91
Jendouba,Bou Salem,1782939,14806 m²,,,,titre foncier,14806.0,120.42
Jendouba,Balta,4664412,14744 m²,,"sondage, électricité",Céréales,"clôture, titre foncier",14744.0,316.36
Jendouba,Bou Salem,4714680,17598 m²,,"puit, eau",Olives,"clôture, titre foncier",17598.0,267.91
Jendouba,Bou Salem,5258037,16207 m²,,"puit, électricité",Céréales,"clôture, titre foncier",16207.0,324.43
Jendouba,Tabarka,4078912,13600 m²,,"puit, eau",Olives,"clôture, titre foncier",13600.0,299.92
Jendouba,Bou Salem,323581,1708 m²,,"puit, eau",,titre foncier,1708.0,189.45
Jendouba,Bou Salem,4079777,18712 m²,,"sondage, eau",,"clôture, titre foncier",18712.0,218.03
Jendouba,Bou Salem,1194355,7506 m²,,"puit, eau",,titre foncier,7506.0,159.12
Jendouba,Bou Salem,2173330,5847 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",5847.0,371.7
Jendouba,Balta,5728824,18410 m²,,"sondage, électricité",Oliviers,"clôture, titre foncier",18410.0,311.18
Jendouba,Balta,6640863,17379 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",17379.0,382.12
Jendouba,Tabarka,4926596,19631 m²,,"puit, eau",Olives,"clôture, titre foncier",19631.0,250.96
Jendouba,Balta,6225365,18352 m²,,"puit, électricité",Olives,"clôture, titre foncier",18352.0,339.22
Jendouba,Bou Salem,5737270,15898 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",15898.0,360.88
Jendouba,Balta,2289958,10489 m²,,"puit, eau",,"clôture, titre foncier",10489.0,218.32
Jendouba,Balta,296124,3519 m²,,eau,,,3519.0,84.15
Jendouba,Tabarka,3411466,14644 m²,,"sondage, eau",Olives,"clôture, titre foncier",14644.0,232.96
Jendouba,Bou Salem,2462253,10522 m²,,"puit, eau",Olives,"clôture, titre foncier",10522.0,234.01
Jendouba,Bou Salem,2645465,5354 m²,près du centre,"sondage, eau, électricité",Céréales,"maison, garage, clôture, titre foncier",5354.0,494.11
Jendouba,Bou Salem,970278,3444 m²,,"sondage, eau",Olives,"clôture, titre foncier",3444.0,281.73
Jendouba,Tabarka,944199,3744 m²,,"sondage, eau",Olives,"clôture, titre foncier",3744.0,252.19
Jendouba,Bou Salem,5516580,13755 m²,près du centre,"sondage, eau, électricité",Céréales,"maison, garage, clôture, titre foncier",13755.0,401.06
Jendouba,Bou Salem,1894246,16268 m²,,,,titre foncier,16268.0,116.44
Jendouba,Bou Salem,3065904,19011 m²,,"puit, eau",Olives,titre foncier,19011.0,161.27
Jendouba,Tabarka,1209123,13309 m²,,eau,,,13309.0,90.85
Jendouba,Balta,4762040,13021 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",13021.0,365.72
Jendouba,Bou Salem,2490378,8558 m²,,"puit, eau",,"clôture, titre foncier",8558.0,291.0
Jendouba,Balta,2649010,6065 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",6065.0,436.77
Jendouba,Balta,2405679,9406 m²,,"sondage, eau",,"clôture, titre foncier",9406.0,255.76
Jendouba,Tabarka,4138142,8801 m²,près de la mer,"sondage, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",8801.0,470.19
Jendouba,Tabarka,905871,5992 m²,,"puit, eau",Olives,titre foncier,5992.0,151.18
Jendouba,Balta,4182177,10041 m²,près du centre,"puit, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",10041.0,416.51
Jendouba,Tabarka,3333947,16174 m²,,"sondage, eau",,"clôture, titre foncier",16174.0,206.13
Jendouba,Bou Salem,2895192,12523 m²,,"sondage, eau",,"clôture, titre foncier",12523.0,231.19
Jendouba,Bou Salem,533366,1558 m²,,"sondage, électricité",Olives,"clôture, titre foncier",1558.0,342.34
Jendouba,Balta,2116518,5444 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",5444.0,388.78
Jendouba,Balta,540763,3019 m²,,"sondage, eau",Olives,titre foncier,3019.0,179.12
Jendouba,Tabarka,1090955,3070 m²,près de la mer,"puit, électricité",Oliviers,"clôture, titre foncier",3070.0,355.36
Jendouba,Balta,1580226,8203 m²,,"puit, eau",Olives,titre foncier,8203.0,192.64
Jendouba,Balta,1614116,14889 m²,,,,titre foncier,14889.0,108.41
Jendouba,Balta,3799136,19814 m²,,"puit, eau",,titre foncier,19814.0,191.74
Jendouba,Tabarka,6716928,14036 m²,près de la mer,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",14036.0,478.55
Jendouba,Tabarka,808547,15606 m²,,eau,,,15606.0,51.81
Jendouba,Balta,3141991,10086 m²,,"puit, électricité",Olives,"clôture, titre foncier",10086.0,311.52
Jendouba,Tabarka,2972750,16763 m²,,"puit, eau",Olives,titre foncier,16763.0,177.34
Jendouba,Balta,1504289,9276 m²,,"sondage, eau",,titre foncier,9276.0,162.17
Jendouba,Bou Salem,1927876,11899 m²,,"sondage, eau",Olives,titre foncier,11899.0,162.02
Jendouba,Tabarka,4678812,11268 m²,près de la mer,"sondage, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",11268.0,415.23
Jendouba,Bou Salem,8621291,18115 m²,près du centre,"puit, eau, électricité",Céréales,"maison, garage, clôture, titre foncier",18115.0,475.92
Jendouba,Bou Salem,7324790,18429 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",18429.0,397.46
Jendouba,Tabarka,1049990,6002 m²,,"puit, eau",Olives,titre foncier,6002.0,174.94
Jendouba,Tabarka,2729579,6066 m²,près de la mer,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",6066.0,449.98
Jendouba,Bou Salem,1870647,4514 m²,près du centre,"sondage, eau, électricité",Céréales,"maison, garage, clôture, titre foncier",4514.0,414.41
Jendouba,Tabarka,3189961,14113 m²,,"puit, eau",,"clôture, titre foncier",14113.0,226.03
Jendouba,Balta,4118691,19213 m²,,"sondage, eau",Olives,"clôture, titre foncier",19213.0,214.37
Jendouba,Tabarka,1324827,16123 m²,,eau,,,16123.0,82.17
Jendouba,Tabarka,5224331,14508 m²,près de la mer,"puit, électricité",Olives,"clôture, titre foncier",14508.0,360.1
Jendouba,Balta,1556990,6488 m²,,"puit, eau",,"clôture, titre foncier",6488.0,239.98
Jendouba,Bou Salem,5509666,13349 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",13349.0,412.74
Jendouba,Bou Salem,4372113,14581 m²,,"sondage, eau",Olives,"clôture, titre foncier",14581.0,299.85
Jendouba,Tabarka,2299641,10801 m²,,"puit, eau",,"clôture, titre foncier",10801.0,212.91
Jendouba,Bou Salem,1546106,3281 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",3281.0,471.23
Jendouba,Bou Salem,829119,2139 m²,près du centre,"puit, électricité",Céréales,"clôture, titre foncier",2139.0,387.62
Jendouba,Bou Salem,6121831,14482 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",14482.0,422.72
Jendouba,Balta,1767357,13384 m²,,,,titre foncier,13384.0,132.05
Jendouba,Bou Salem,508974,2774 m²,,"sondage, eau",Olives,titre foncier,2774.0,183.48
Jendouba,Balta,923472,2980 m²,,"puit, électricité",Céréales,"clôture, titre foncier",2980.0,309.89
Jendouba,Bou Salem,3313826,9047 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",9047.0,366.29
Jendouba,Tabarka,1084105,13179 m²,,eau,,,13179.0,82.26
Jendouba,Bou Salem,6390450,14428 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",14428.0,442.92
Jendouba,Balta,2503841,6604 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",6604.0,379.14
Jendouba,Balta,560762,13425 m²,,eau,,,13425.0,41.77
Jendouba,Tabarka,1055826,3881 m²,,"puit, eau",,"clôture, titre foncier",3881.0,272.05
Jendouba,Bou Salem,900634,7947 m²,,,,titre foncier,7947.0,113.33
Jendouba,Tabarka,2138950,5630 m²,près de la mer,"sondage, électricité",Olives,"clôture, titre foncier",5630.0,379.92
Jendouba,Balta,2304334,8233 m²,,"sondage, eau",,"clôture, titre foncier",8233.0,279.89
Jendouba,Balta,1803793,10818 m²,,"puit, eau",,titre foncier,10818.0,166.74
Jendouba,Bou Salem,7477334,16108 m²,près du centre,"sondage, eau, électricité",Céréales,"maison, garage, clôture, titre foncier",16108.0,464.2
Jendouba,Bou Salem,1531736,5643 m²,,"sondage, eau",Olives,"clôture, titre foncier",5643.0,271.44
Jendouba,Balta,7047340,14966 m²,près du centre,"puit, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",14966.0,470.89
Jendouba,Balta,5472157,15779 m²,,"puit, électricité",Oliviers,"clôture, titre foncier",15779.0,346.8
Jendouba,Balta,5108928,10241 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",10241.0,498.87
Jendouba,Balta,2923376,7907 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",7907.0,369.72
Jendouba,Balta,1270905,15290 m²,,eau,,,15290.0,83.12
Jendouba,Tabarka,3047986,10067 m²,,"puit, électricité",Olives,"clôture, titre foncier",10067.0,302.77
